Date,Adj Close,Close,High,Low,Open,Volume,Log_returns
2014-02-25,4287.58984375,4287.58984375,4307.509765625,4275.7998046875,4298.47998046875,2137150000,-0.0012540840602860163
2014-02-26,4292.06005859375,4292.06005859375,4316.81982421875,4278.5400390625,4300.4501953125,2108270000,0.0010420507361343007
2014-02-27,4318.93017578125,4318.93017578125,4322.4599609375,4284.77978515625,4291.47021484375,2049160000,0.006240909272837185
2014-02-28,4308.1201171875,4308.1201171875,4342.58984375,4275.60986328125,4323.52001953125,2617730000,-0.002506085831038629
2014-03-03,4277.2998046875,4277.2998046875,4284.14990234375,4239.64990234375,4261.419921875,2077500000,-0.0071797175152795096
2014-03-04,4351.97021484375,4351.97021484375,4357.2099609375,4327.5400390625,4327.85009765625,2477850000,0.017306741768880283
2014-03-05,4357.97021484375,4357.97021484375,4362.5,4344.14990234375,4352.759765625,2215980000,0.0013777363915436903
2014-03-06,4352.1298828125,4352.1298828125,4371.7099609375,4341.0,4368.81005859375,2136260000,-0.0013410484015212794
2014-03-07,4336.22021484375,4336.22021484375,4371.39013671875,4319.14990234375,4370.97998046875,2175560000,-0.003662303100644703
2014-03-10,4334.4501953125,4334.4501953125,4339.93017578125,4307.83984375,4332.6201171875,2111610000,-0.00040827743925405877
2014-03-11,4307.18994140625,4307.18994140625,4354.43017578125,4295.47021484375,4342.93017578125,2477780000,-0.006309067236755255
2014-03-12,4323.330078125,4323.330078125,4323.330078125,4270.22021484375,4288.60009765625,2131880000,0.0037402509925766885
2014-03-13,4260.419921875,4260.419921875,4339.89990234375,4242.9501953125,4338.259765625,2383600000,-0.014658228087130378
2014-03-14,4245.39990234375,4245.39990234375,4272.33984375,4241.93994140625,4250.4501953125,2196890000,-0.00353170780798547
2014-03-17,4279.9501953125,4279.9501953125,4301.27978515625,4273.009765625,4274.22021484375,1810410000,0.008105352091402817
2014-03-18,4333.31005859375,4333.31005859375,4334.66015625,4284.10986328125,4286.22021484375,1962890000,0.01239032476848213
2014-03-19,4307.60009765625,4307.60009765625,4334.2998046875,4283.5400390625,4331.4599609375,1992750000,-0.0059507705419774145
2014-03-20,4319.2900390625,4319.2900390625,4329.60986328125,4287.41015625,4297.990234375,1847270000,0.0027101187973779506
2014-03-21,4276.7900390625,4276.7900390625,4344.39013671875,4268.33984375,4339.89990234375,3245740000,-0.009888308604049427
2014-03-24,4226.39013671875,4226.39013671875,4289.490234375,4190.60986328125,4289.490234375,2434650000,-0.011854504202488366
2014-03-25,4234.27001953125,4234.27001953125,4274.31982421875,4203.64013671875,4252.64990234375,2270760000,0.0018627116431517215
2014-03-26,4173.580078125,4173.580078125,4263.06982421875,4173.580078125,4254.97998046875,2455460000,-0.014436745369830311
2014-03-27,4151.22998046875,4151.22998046875,4186.1298828125,4131.81005859375,4169.35009765625,2270650000,-0.005369528241110224
2014-03-28,4155.759765625,4155.759765625,4203.490234375,4144.68994140625,4163.18017578125,2029840000,0.0010905961710997655
2014-03-31,4198.990234375,4198.990234375,4212.97021484375,4180.5400390625,4185.6298828125,2090850000,0.010348808659377247
2014-04-01,4268.0400390625,4268.0400390625,4268.2001953125,4218.77001953125,4219.8701171875,2153130000,0.016310638622340935
2014-04-02,4276.4599609375,4276.4599609375,4286.08984375,4258.85986328125,4281.60986328125,2187100000,0.0019708407982673972
2014-04-03,4237.740234375,4237.740234375,4284.68994140625,4216.56982421875,4282.18017578125,2067370000,-0.00909539183992494
2014-04-04,4127.72998046875,4127.72998046875,4267.06005859375,4118.7099609375,4263.93994140625,2621270000,-0.02630254924581612
2014-04-07,4079.75,4079.75,4133.68017578125,4052.139892578125,4110.919921875,2554680000,-0.011691902302763917
2014-04-08,4112.990234375,4112.990234375,4120.240234375,4066.110107421875,4085.179931640625,2198900000,0.00811460288517311
2014-04-09,4183.89990234375,4183.89990234375,4185.18994140625,4121.169921875,4129.6298828125,1957560000,0.01709348764834262
2014-04-10,4054.110107421875,4054.110107421875,4182.60986328125,4042.760009765625,4181.2099609375,2421210000,-0.03151259470858064
2014-04-11,3999.72998046875,3999.72998046875,4067.219970703125,3991.639892578125,4015.070068359375,2264480000,-0.013504353895321015
2014-04-14,4022.68994140625,4022.68994140625,4050.7900390625,3986.5,4038.06005859375,1890480000,0.005723964551585443
2014-04-15,4034.159912109375,4034.159912109375,4054.800048828125,3946.030029296875,4032.6298828125,2413110000,0.0028472613144060015
